epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,210.485,0.63344,0.57026,1.12129,0.83412,0.85125,0.93353,0.72292,0.71652,0.9413,1.29958,0.00119699,0.00119699,0.00119699
43,215.382,0.65591,0.59757,1.13983,0.84399,0.80838,0.94308,0.77673,0.69515,0.91128,1.26161,0.00119133,0.00119133,0.00119133
44,220.275,0.67267,0.60586,1.16306,0.71286,0.80571,0.8259,0.67237,0.77427,1.37893,1.33274,0.00118567,0.00118567,0.00118567
45,225.15,0.65508,0.60335,1.13729,0.79129,0.83333,0.77167,0.64293,0.65238,1.13905,1.26049,0.00118001,0.00118001,0.00118001
46,230.054,0.65707,0.59776,1.14324,0.89013,0.88439,0.96422,0.7603,0.74658,0.70566,1.30499,0.00117435,0.00117435,0.00117435
47,234.935,0.64543,0.58473,1.1347,0.98591,1,0.995,0.81565,0.7576,0.51079,1.37466,0.00116869,0.00116869,0.00116869
48,239.905,0.65432,0.55559,1.14023,0.97788,1,0.995,0.75764,0.89595,0.54761,1.56236,0.00116303,0.00116303,0.00116303
49,244.774,0.62346,0.55058,1.13474,0.95046,0.99498,0.995,0.87545,0.66236,0.50373,1.22137,0.00115738,0.00115738,0.00115738
50,249.617,0.61832,0.54601,1.12134,0.97167,1,0.995,0.85618,0.66134,0.47294,1.2425,0.00115172,0.00115172,0.00115172
51,254.559,0.60486,0.53704,1.11187,0.84802,0.89241,0.91208,0.73308,0.71653,0.72699,1.21409,0.00114606,0.00114606,0.00114606
52,259.484,0.59836,0.52388,1.10759,0.97328,0.97009,0.995,0.86071,0.63851,0.43462,1.12701,0.0011404,0.0011404,0.0011404
53,264.399,0.61216,0.53291,1.11347,0.84966,0.99354,0.995,0.88042,0.6,0.46025,1.10528,0.00113474,0.00113474,0.00113474
54,269.363,0.60136,0.51485,1.10585,0.97474,0.91632,0.995,0.85663,0.67388,0.48507,1.18032,0.00112908,0.00112908,0.00112908
55,274.394,0.61356,0.51354,1.10577,0.93945,0.96704,0.995,0.80402,0.64555,0.48983,1.18579,0.00112342,0.00112342,0.00112342
